title,year,category,genre
Stardust,2007,movies,Drama / Romantický / Válečný / Mysteriózní
Jurassic Park,1993,movies,Drama / Romantický / Válečný / Mysteriózní
The Town,2010,movies,Drama / Romantický / Válečný / Mysteriózní
The Little Prince,2015,movies,Drama / Romantický / Válečný / Mysteriózní
Scarface,1983,movies,Drama / Romantický / Válečný / Mysteriózní
The Constant Gardener,2005,movies,Drama / Romantický / Válečný / Mysteriózní
Back to the Future,1985,movies,Drama / Romantický / Válečný / Mysteriózní
Rosemary's Baby,1968,movies,Drama / Romantický / Válečný / Mysteriózní
"Crouching Tiger, Hidden Dragon",2000,movies,Drama / Romantický / Válečný / Mysteriózní
E.T. the Extra-Terrestrial,1982,movies,Drama / Romantický / Válečný / Mysteriózní
How to Train Your Dragon 2,2014,movies,Drama / Romantický / Válečný / Mysteriózní
Call Me by Your Name,2017,movies,Drama / Romantický / Válečný / Mysteriózní
Hotel Transylvania,2010,movies,Drama / Romantický / Válečný / Mysteriózní
Scent of a Woman,1992,movies,Drama / Romantický / Válečný / Mysteriózní
Lost in Translation,2003,movies,Drama / Romantický / Válečný / Mysteriózní
Blade Runner 2049,2017,movies,Drama / Romantický / Válečný / Mysteriózní
Hugo,2011,movies,Drama / Romantický / Válečný / Mysteriózní
Black Friday,2004,movies,Drama / Romantický / Válečný / Mysteriózní
Scott Pilgrim vs. the World,2010,movies,Drama / Romantický / Válečný / Mysteriózní
American Gangster,2007,movies,Drama / Romantický / Válečný / Mysteriózní
1917,2019,movies,Drama / Romantický / Válečný / Mysteriózní
High Noon,1952,movies,Drama / Romantický / Válečný / Mysteriózní
Jaws,1975,movies,Drama / Romantický / Válečný / Mysteriózní
Apollo 13,1995,movies,Drama / Romantický / Válečný / Mysteriózní
The World's End,2013,movies,Drama / Romantický / Válečný / Mysteriózní
The Legend of Bhagat Singh,2002,movies,Drama / Romantický / Válečný / Mysteriózní
Les Miserables,2012,movies,Drama / Romantický / Válečný / Mysteriózní
David Attenborough: A Life on Our Planet,2020,movies,Drama / Romantický / Válečný / Mysteriózní
Spider-Man: Into the Spider-Verse,2018,movies,Drama / Romantický / Válečný / Mysteriózní
